Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
9490,Limon RE-4J,Limon Junior-senior High School,Regular,Completed,School,2018/2019,266,Tdap,0.778,0.771,0.000,0.128,0.000,0.045,0.056,0.000
9491,Jefferson County R-1,Lincoln Charter Academy,Charter,Completed,School,2018/2019,221,Tdap,0.993,0.964,0.000,0.000,0.000,0.005,0.032,0.000
9494,Denver County 1,Lincoln Elementary School,Regular,Completed,School,2018/2019,15,Tdap,0.923,0.400,0.000,0.000,0.000,0.533,0.067,0.000
9495,Fort Morgan RE-3,Lincoln High School,Alt. Ed,Completed,School,2018/2019,42,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
9496,Poudre R-1,Lincoln Middle School,Regular,Completed,School,2018/2019,613,Tdap,0.990,0.917,0.024,0.007,0.000,0.002,0.044,0.007
9501,Archuleta County 50 JT,Our Savior Lutheran School,Regular,Completed,School,2018/2019,,Tdap,1.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000
9502,Bennett 29J,Our Lady Help Of Christians Academy,Regular,Completed,School,2018/2019,84,Tdap,1.000,0.405,0.000,0.000,0.000,0.000,0.429,0.167
9503,Littleton 6,Littleton Academy,Charter,Completed,School,2018/2019,149,Tdap,0.996,0.980,0.000,0.007,0.000,0.000,0.013,0.000
9504,Littleton 6,Littleton High School,Regular,Completed,School,2018/2019,1250,Tdap,0.904,0.931,0.000,0.054,0.001,0.000,0.014,0.001
9505,Littleton 6,Littleton Prep Charter School,Charter,Completed,School,2018/2019,188,Tdap,0.926,0.888,0.000,0.085,0.000,0.000,0.027,0.000
9510,Lone Star 101,Lone Star K-12,Regular,Completed,School,2018/2019,64,Tdap,0.742,0.609,0.000,0.359,0.000,0.031,0.000,0.000
9511,Douglas County RE 1,Lone Tree Elementary,Magnet,Completed,School,2018/2019,47,Tdap,0.920,0.574,0.000,0.000,0.000,0.426,0.000,0.000
9513,St Vrain Valley Re 1J,Longmont Christian School,Regular,Not Completed,School,2018/2019,,Tdap,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9515,St Vrain Valley Re 1J,Longmont High School,Regular,Completed,School,2018/2019,1284,Tdap,0.864,0.917,0.000,0.048,0.000,0.024,0.010,0.000
9516,St Vrain Valley Re 1J,Longs Peak Middle School,Regular,Completed,School,2018/2019,381,Tdap,0.719,0.722,0.000,0.262,0.000,0.013,0.003,0.000
9517,Jefferson County R-1,Longview High School,Alt. Ed,Completed,School,2018/2019,58,Tdap,0.966,0.966,0.000,0.000,0.000,0.017,0.017,0.000
9519,Adams-Arapahoe 28J,Lotus School For Excellence,Charter,Completed,School,2018/2019,466,Tdap,0.890,0.923,0.000,0.073,0.000,0.004,0.000,0.000
9521,Boulder Valley RE 2,Louisville Middle School,Regular,Completed,School,2018/2019,681,Tdap,0.978,0.938,0.007,0.019,0.000,0.000,0.035,0.000
9522,Thompson R2-J,Loveland Classical School,Charter,Completed,School,2018/2019,338,Tdap,0.961,0.802,0.000,0.000,0.000,0.041,0.148,0.009
9523,Thompson R2-J,Loveland High School,Regular,Completed,School,2018/2019,1617,Tdap,0.989,0.951,0.000,0.000,0.001,0.002,0.043,0.004
9525,Thompson R2-J,Lucile Erwin Middle School,Regular,Completed,School,2018/2019,852,Tdap,0.960,0.924,0.000,0.000,0.004,0.019,0.050,0.004
9527,Jefferson County R-1,Lumberg Elementary School,Regular,Completed,School,2018/2019,68,Tdap,0.889,0.735,0.000,0.235,0.000,0.029,0.000,0.000
9530,St Vrain Valley Re 1J,Lyons Middle/senior High School,Regular,Completed,School,2018/2019,398,Tdap,0.864,0.824,0.000,0.075,0.000,0.013,0.085,0.003
9531,Westminster Public Schools,M. Scott Carpenter Middle School,Regular,Completed,School,2018/2019,471,Tdap,1.000,0.981,0.000,0.000,0.002,0.000,0.017,0.000
9532,Littleton 6,Mackintosh Academy: Littleton,Regular,Completed,School,2018/2019,31,Tdap,1.000,0.935,0.000,0.000,0.000,0.000,0.065,0.000
9536,Douglas County RE 1,Mammoth Heights Elementary,Regular,Completed,School,2018/2019,107,Tdap,0.884,0.785,0.000,0.000,0.000,0.196,0.019,0.000
9540,Mancos RE-6,Mancos High School,Regular,Completed,School,2018/2019,129,Tdap,0.953,0.907,0.000,0.023,0.000,0.000,0.070,0.000
